"Id","SalePrice"
1461,126193.646867708
1462,151230.056428297
1463,181312.110951299
1464,187306.88378508
1465,191272.428828668
1466,183559.655855206
1467,168753.108901435
1468,176328.563280214
1469,174309.905181955
1470,130032.507957162
1471,191220.904396443
1472,96057.3314847622
1473,100898.594418541
1474,151951.236826433
1475,127896.688625924
1476,361942.489174396
1477,250149.524911315
1478,301025.166718993
1479,293337.795418431
1480,448865.367974816
1481,309459.120230427
1482,206495.996312623
1483,180973.199987689
1484,173754.590765713
1485,177600.73145243
1486,198284.168361605
1487,309800.115496316
1488,231082.593779324
1489,207851.167197041
1490,216108.642972111
1491,191621.040462317
1492,102320.383709816
1493,172987.117740735
1494,292814.196617702
1495,284765.543018222
1496,228145.394558755
1497,180647.018866594
1498,155784.132315326
1499,154105.841949929
1500,162146.008941148
1501,171934.754786812
1502,162123.787017995
1503,265715.965290068
1504,230524.365405741
1505,217965.024315506
1506,177321.562286597
1507,236493.100753789
1508,186768.561885693
1509,161138.622777765
1510,149735.463407148
1511,148393.839373369
1512,165809.606301403
1513,144137.508629989
1514,140729.732954733
1515,176948.859546574
1516,149507.675045431
1517,151787.314946689
1518,132862.862374695
1519,211000.133587653
1520,140612.025800829
1521,143323.659422671
1522,160316.111282782
1523,119112.235211614
1524,123140.114157992
1525,126264.616367168
1526,128050.004163385
1527,111046.850876147
1528,128120.738487892
1529,144153.323638212
1530,164084.36806165
1531,132724.461227712
1532,102880.687781682
1533,136111.756954421
1534,117154.144865138
1535,143572.987364053
1536,118003.565132089
1537,95795.7217118151
1538,146542.365110496
1539,176132.01315147
1540,114627.048605886
1541,138838.665166587
1542,136086.028683706
1543,172891.610199802
1544,93768.0881138807
1545,107462.427288672
1546,128777.518462526
1547,138659.164776877
1548,129096.891368435
1549,115118.249878073
1550,139531.913889497
1551,116018.657068401
1552,138902.385722179
1553,130893.466207074
1554,114381.611355019
1555,171036.927067695
1556,113947.828558614
1557,113238.065938843
1558,104192.858267292
1559,112437.663414701
1560,141649.095156422
1561,132640.165396929
1562,127788.514284201
1563,125835.125933191
1564,158638.936412818
1565,157646.840204823
1566,213875.20613054
1567,91328.4792602414
1568,218149.201391405
1569,146032.746667175
1570,141616.553459115
1571,127925.165686878
1572,142214.914705818
1573,221229.420921487
1574,123031.291773926
1575,211913.910460615
1576,229428.181200902
1577,200358.405997564
1578,143749.395788286
1579,143705.223602535
1580,187269.724299984
1581,140394.46268616
1582,129186.158047931
1583,304353.326879751
1584,236760.184028267
1585,140599.031395144
1586,86159.7338990729
1587,107223.302182744
1588,144296.441758156
1589,103693.621458125
1590,132539.225819737
1591,106117.286205853
1592,125282.754106365
1593,120309.110080536
1594,128633.262740822
1595,123897.153961744
1596,206949.422154563
1597,170284.449847928
1598,185200.209679068
1599,168822.70566585
1600,173183.803057185
1601,79172.3226287208
1602,113687.411854265
1603,92183.5894270143
1604,270266.111040583
1605,232338.237137105
1606,164319.031865704
1607,156492.093262179
1608,216493.40983551
1609,194939.098600629
1610,170040.324517243
1611,148145.079639732
1612,176257.845902016
1613,169566.170402032
1614,123157.288580253
1615,89873.7642928957
1616,85612.3494643441
1617,90798.0705571059
1618,126058.558719704
1619,135255.264309055
1620,163540.438846792
1621,143881.122230327
1622,144101.100636521
1623,243139.872991389
1624,212127.527456466
1625,123653.902911976
1626,166402.987322653
1627,184973.879910441
1628,261882.199492393
1629,176969.773397732
1630,309587.261505633
1631,195948.690736179
1632,239884.650904886
1633,174307.399726384
1634,187050.001285358
1635,180961.575781289
1636,167027.020501703
1637,184225.796993322
1638,199209.957100252
1639,180973.231791591
1640,232882.102815359
1641,181980.238511321
1642,227217.056320881
1643,223175.681470917
1644,225313.219058473
1645,187233.751796541
1646,160040.480882457
1647,158883.082813987
1648,136946.183848101
1649,139023.548982264
1650,125385.182738641
1651,123378.862370193
1652,94928.599277643
1653,97438.1759441259
1654,151668.515935853
1655,143632.782322905
1656,147765.759024866
1657,151753.668364045
1658,152541.714622187
1659,132615.261996222
1660,153031.689435065
1661,429439.783397216
1662,345944.062414235
1663,360792.890047143
1664,414985.607439319
1665,311539.392036482
1666,325935.053214366
1667,331480.59279003
1668,325735.393829947
1669,291428.248473215
1670,342399.675578088
1671,260420.196882973
1672,429241.415761819
1673,300350.498848721
1674,251408.029255787
1675,196064.101158624
1676,196906.853943813
1677,212715.171952061
1678,438343.67426607
1679,378005.231913662
1680,312673.370874117
1681,249503.15722024
1682,311420.506476994
1683,192072.578662134
1684,173885.177628553
1685,176176.505824876
1686,172285.963531308
1687,171289.772090103
1688,191896.448646554
1689,191198.593034773
1690,184655.220362628
1691,179980.559041058
1692,251527.609664303
1693,173112.013192695
1694,184657.60490061
1695,171675.308431388
1696,256948.856788063
1697,170784.42607133
1698,322127.312803883
1699,309857.065508051
1700,250007.873722905
1701,260984.107040085
1702,251120.739964507
1703,251491.584692717
1704,278754.964253674
1705,227688.83080685
1706,382278.398359494
1707,216584.944233942
1708,212112.124350695
1709,255729.104259158
1710,220727.900409436
1711,263511.396978352
1712,248703.852313632
1713,269549.034267526
1714,213494.369981929
1715,201988.235664911
1716,178728.42390283
1717,165554.199443022
1718,129854.904413211
1719,205866.042419496
1720,233088.65049669
1721,163766.584153136
1722,127644.800342321
1723,160652.878862276
1724,208610.456370875
1725,227433.551725803
1726,190463.859542859
1727,174724.966504513
1728,183733.813754291
1729,165330.672876238
1730,153211.69941458
1731,125578.646973511
1732,129915.597901538
1733,124256.608462991
1734,129609.591162704
1735,135462.931134117
1736,122746.372612807
1737,289712.089519012
1738,217448.494645135
1739,244196.255332147
1740,223814.073862206
1741,192908.756416164
1742,171225.338790308
1743,173766.059360579
1744,269692.287097809
1745,210877.307279184
1746,198216.16690837
1747,207040.161644893
1748,209532.620206889
1749,163175.740199908
1750,145255.697417179
1751,217114.220280815
1752,122949.285417009
1753,142640.948017563
1754,194200.259698681
1755,169116.337985674
1756,125648.653146412
1757,120084.156413968
1758,152105.40879781
1759,159418.937462823
1760,160749.000272638
1761,148007.831209511
1762,175999.378897215
1763,167014.395795958
1764,123593.769823484
1765,159518.239118599
1766,166660.550588473
1767,185005.856572881
1768,141602.710055651
1769,160783.011001929
1770,142909.620878119
1771,136082.580945186
1772,141875.424714956
1773,143337.481137384
1774,134540.19406922
1775,134696.755362774
1776,125925.245954002
1777,113910.196124346
1778,135389.977234494
1779,120332.958179247
1780,162767.077734728
1781,132322.707683096
1782,107614.853482615
1783,138159.251943726
1784,109253.728204155
1785,115015.496369331
1786,154924.118017104
1787,156927.894853519
1788,79240.2516009632
1789,105131.777641125
1790,93660.9218687386
1791,168266.960357332
1792,151968.234964881
1793,138269.743422405
1794,141963.551626825
1795,138065.615240455
1796,137793.926942037
1797,120369.809108583
1798,128847.36173344
1799,114794.889333424
1800,136066.155465876
1801,129250.578520806
1802,137705.400377794
1803,151952.969728509
1804,142189.198675594
1805,136750.260393206
1806,117704.136383535
1807,129872.253498835
1808,121249.139382998
1809,119787.657344918
1810,142537.670215537
1811,107446.574422846
1812,107011.040692543
1813,120267.578271905
1814,97918.0216074474
1815,76647.5171599963
1816,104621.90272975
1817,131762.033863354
1818,141364.504877392
1819,126686.410143772
1820,81954.1627603259
1821,115675.540206171
1822,145713.987867934
1823,62235.8977529553
1824,131148.342609921
1825,140981.633613705
1826,113436.613428803
1827,106765.902839886
